country,NY.GDP.PCAP.CD,SE.PRM.ENRR,SH.XPD.CHEX.GD.ZS,SI.POV.DDAY,SP.POP.TOTL
#country+name,,,,,
IDN,5059.62596411213,100.371428697375,2.70239949,4.0,285721236.0
IDX,1484.11159862857,100.371231079102,3.84059636091876,,1297080455.0
IMN,90015.2074234398,,,,84118.0
IND,2702.47987141553,111.033783181676,3.33944035,5.3,1463865525.0
IRL,131592.462547877,96.4761428833008,6.85410833,0.1,5484367.0
IRN,3924.38017821898,101.962623596191,6.02542305,2.5,92417681.0
IRQ,5409.67899716967,104.57022857666,5.53275251,0.5,47020774.0
ISL,98323.4849517418,98.2218322753906,8.98358727,0.1,392404.0
ISR,60336.8477964194,97.4422836303711,7.09822369,0.4,10122800.0
ITA,43308.6403060733,103.566017150879,8.44437313,0.9,58915656.0
JAM,8002.92104076242,97.2972106933594,7.60493946,1.4,2837077.0
JOR,5347.77731384797,98.5516247069238,7.66000605,0.1,11520684.0
JPN,35951.0449549304,101.125762939453,10.73979473,1.2,123366734.0
KAZ,14692.1331757237,97.332988440748,3.76701546,0.0,20843754.0
KEN,2362.86091198611,98.2483475806861,4.35172892,45.5,57532493.0
KGZ,3080.96893823359,98.9535427608138,4.50344467,2.2,7343064.0
KHM,2872.42926639909,108.971332849667,4.61706829,,17847982.0
KIR,2558.66636011102,95.2685003274394,10.94525623,0.9,136488.0
KNA,25223.0257622185,121.118748518606,5.73595428,,46922.0
KOR,36226.9663637512,100.866508483887,8.67656994,0.1,51684564.0
KWT,32312.3119953634,82.3634126791806,4.96311998,,4865298.0
LAC,10407.4817975955,104.340461730957,7.84015567723398,,626808315.0
LAO,2324.76353098791,93.1435250140429,1.32651615,7.1,7873046.0
LBN,4473.27134441128,81.7691124093498,5.57497263,5.8,5849421.0
LBR,915.328972645548,66.5939255094706,13.00574875,33.6,5731206.0
LBY,6448.82415074121,106.998237609863,7.80515862,,7458555.0
LCA,14745.8184305461,96.7822958387075,4.7298274,0.1,180149.0
LCN,11095.2176548294,104.589141845703,7.94355058922187,4.3,666592570.0
LDC,1361.99182021439,100.6826171875,3.60687940583759,,1214167506.0
LIC,837.360634569252,97.5728912353516,4.57073764189418,52.9,767490169.0
LIE,220167.225473557,102.110137939453,5.71460724,,41024.0
LKA,5002.07904353724,91.4511421235026,3.68313766,2.7,21756000.0
LMC,2481.42751777184,105.352798461914,3.70808739985731,13.1,2945282634.0
LMY,6107.26169428605,102.346519470215,5.61091353736938,12.5,6791684991.0
LSO,1088.96276223185,80.1830208282055,12.61182117,41.9,2363325.0
LTE,13677.3231696707,100.273399353027,6.31155209542517,,2330425681.0
LTU,32958.6706396386,100.533866882324,7.59519005,1.1,2888774.0
LUX,147252.179121515,99.2204437255859,5.89136267,0.1,686970.0
