country,NY.GDP.PCAP.CD,SE.PRM.ENRR,SH.XPD.CHEX.GD.ZS,SI.POV.DDAY,SP.POP.TOTL
LMY,6002.45120765259,102.346519470215,5.61714493004159,12.0,6563501708.0
LSO,971.90771824829,80.1830208282055,12.61182117,41.9,2337423.0
LTE,12874.1679137972,100.273399353027,6.31151586129759,,2328628339.0
LTU,29384.0189598663,102.679946899414,7.59519005,1.1,2888278.0
LUX,137781.681659123,99.0644607543945,5.89136267,0.1,677012.0
LVA,23409.0845154775,98.4666366577148,7.27783823,0.4,1866124.0
MAC,72004.7437020733,89.8103044496487,,,687000.0
MAF,21668.3776525323,,,,26129.0
MAR,4153.1943359375,116.588650279809,6.06396198,3.7,38081173.0
MCO,288001.433369041,120.58309173584,3.11959291,,38631.0
MDA,7576.19589413326,107.605837807201,6.7359705,0.1,2402306.0
MDG,544.987501003384,132.73958355273,3.42822957,69.2,31964956.0
MDV,13379.3513577224,99.7145381635289,9.24973583,0.0,527799.0
MEA,6265.44445247452,94.6325531005859,5.3363635026536,11.4,813146136.0
MEX,14185.7812248529,101.420753479004,5.50398684,2.3,130861007.0
MHL,7726.33668877794,101.801288405129,13.40528965,2.1,37548.0
MIC,6554.37054933497,103.311218261719,5.62045491619397,,5938893610.0
MKD,9291.85661671864,96.3131713867188,7.42730284,3.9,1824359.0
MLI,1094.61949265799,72.7972336510107,3.81316996,36.1,24478595.0
MLT,43898.5781808597,97.7078399658203,8.84301376,0.1,568847.0
MMR,1359.05001560107,120.214569091797,4.45748425,10.3,54500091.0
MNA,2971.05462651558,,5.19653878243504,,741690916.0
MNE,13263.3281277699,106.109619140625,9.6549921,2.5,623525.0
MNG,6750.6301157724,92.3400789423552,6.07207489,0.4,3524788.0
MNP,23785.754590043,,,,44278.0
MOZ,656.776824637306,119.162225223393,8.50126553,81.4,34631766.0
MRT,2110.12036938187,105.434763333022,4.34333467,10.2,5169395.0
MUS,11990.7798944837,107.347861424363,5.56544495,0.5,1245779.0
MWI,522.570393642547,139.016258677384,6.53459597,75.4,21655286.0
MYS,11874.4273684245,90.3595586965317,3.95760036,0.0,35557673.0
NAC,81275.8436781762,96.7801818847656,16.2879432527695,1.0,381464223.0
NAM,4413.12752211572,120.719328687086,9.48251629,22.9,3030131.0
NCL,29213.1923192946,116.012268066406,,,292639.0
NER,735.270255787226,64.6534815281519,4.04895782,60.5,27032412.0
